state,tooktest,avg_score
AL,3240,1143
AK,3212,1097
AZ,21472,1134
AR,1790,1141
CA,272892,1065
CO,59494,1024
CT,44029,1046
DE,10990,985
DC,4980,975
FL,190853,999
GA,76340,1058
HI,7346,1100
ID,20749,993
IL,146681,1013
IN,49565,1080
IA,994,1244
KS,1496,1241
KY,2047,1232
LA,2191,1200
ME,14210,1013
MD,51094,1058
MA,59671,1120
MI,113724,1003
MN,2567,1284
MS,781,1237
MO,2644,1236
MT,880,1199
NE,714,1260
NV,4957,1156
NH,14464,1059
NJ,84602,1090
NM,3705,1073
NY,162179,1064
NC,54462,1100
ND,149,1263
OH,22904,1097
OK,9272,963
OR,18625,1112
PA,95794,1082
RI,11478,995
SC,31633,1030
SD,266,1268
TN,4374,1220
TX,236665,1022
UT,1506,1230
VT,4373,1106
VA,61182,1119
WA,49630,1074
WV,17298,943
WI,1969,1283
WY,156,1238
