Sport,Boys,Girls,Year
Baseball,482740,1284,2018
Basketball,540769,399067,2018
Football,1006013,2404,2018
Soccer,459077,394105,2018
Baseball,487097,1762,2017
Basketball,551373,412407,2017
Football,1036842,2237,2017
Soccer,456362,390482,2017
Baseball,491790,1145,2016
Basketball,550305,430368,2016
Football,1057382,2017,2016
Soccer,450234,388339,2016
Baseball,488815,1290,2015
Basketball,546428,429380,2015
Football,1080693,1944,2015
Soccer,440322,381529,2015
Baseball,486567,1203,2014
Basketball,541479,429504,2014
Football,1083617,1565,2014
Soccer,432569,375681,2014
Baseball,482629,1066,2013
Basketball,541054,433344,2013
Football,1093234,1715,2013
Soccer,417419,374564,2013
Baseball,474791,1259,2012
Basketball,538676,433120,2012
Football,1086627,1531,2012
Soccer,410982,371532,2012
Baseball,474219,998,2011
Basketball,535289,435885,2011
Football,1095993,1604,2011
Soccer,411757,370975,2011
Baseball,471025,698,2010
Basketball,545844,438933,2010
Football,1108441,1395,2010
Soccer,398351,361556,2010
Baseball,472644,859,2009
Basketball,540207,439550,2009
Football,1109278,1249,2009
Soccer,391839,356116,2009
