,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Overall total,1442533,1472849,1419723,1248126,1359897,1195815,1392262,1361986,1427315,1196479,1393566,1160321,1367490,1307414
Boys’ football total,516150,574367,616665,527321,581414,483016,559064,616209,624470,529483,568789,444281,463626,455449
Boys’ soccer total,218760,171874,159351,149229,153485,138974,172070,149049,149278,133919,174811,145215,180607,184656
Girls’ soccer total,185770,230769,215850,192108,181159,180254,222679,190382,227172,217546,209027,190436,242602,227951
Girls’ volleyball total,81813,80493,72261,56609,67760,50711,52662,44064,45144,46807,58127,46601,67163,59370
Boys’ basketball total,100058,96670,82612,79230,85063,79762,75872,85819,84455,55980,81240,88927,93773,87521
Girls’ basketball total,103566,102831,73283,64933,78709,83033,67280,83107,89451,64491,99598,70700,90554,82383
Boys’ wrestling total,105542,101139,91625,88996,80390,80569,107992,85485,91203,60253,91642,67834,103058,91176
Boys’ baseball total,67560,60296,44760,39869,64053,46796,43590,49747,62493,44208,44760,36395,49716,52889
Girls’ softball total,63313,54411,63316,49831,67862,52700,91053,58124,53649,43792,65572,69932,76391,66019
