State,Baseball,Basketball,Football,Soccer
Alabama,396,413,386,183
Alaska,25,120,30,40
Arizona,240,260,209,212
Arkansas,261,286,201,107
California,1294,1515,1069,1393
Colorado,286,336,222,230
Connecticut,177,183,144,177
Delaware,50,56,45,54
Dist. of Columbia,34,46,29,30
Florida,635,744,594,613
Georgia,435,446,415,398
Hawaii,61,68,54,61
Idaho,111,155,88,78
Illinois,640,734,535,457
Indiana,387,408,323,308
Iowa,341,355,266,160
Kansas,254,353,224,106
Kentucky,259,269,221,196
Louisiana,351,385,304,191
Maine,126,133,84,129
Maryland,186,196,181,183
Massachusetts,347,361,328,348
Michigan,639,731,572,492
Minnesota,436,472,345,276
Mississippi,244,244,244,135
Missouri,629,596,348,251
Montana,NA,175,78,28
Nebraska,82,298,153,80
Nevada,95,108,74,71
New Hampshire,86,87,58,87
New Jersey,391,411,343,397
New Mexico,111,153,98,78
New York,686,745,502,674
North Carolina,408,416,377,390
North Dakota,113,161,82,18
Ohio,776,791,718,581
Oklahoma,416,472,257,126
Oregon,224,288,196,186
Pennsylvania,657,719,567,567
Rhode Island,48,50,42,50
South Carolina,207,215,205,175
South Dakota,NA,171,66,30
Tennessee,369,399,367,324
Texas,1295,1545,1317,779
Utah,127,139,106,113
Vermont,34,35,22,34
Virginia,309,315,307,292
Washington,325,377,299,282
West Virginia,122,124,113,82
Wisconsin,445,487,388,273
Wyoming,NA,71,51,27
