State,Boys,Girls,Total,
Texas,495617,330307,825924,
California,465789,358920,824709,
New York,197505,171761,369266,
Ohio,197084,142074,339158,
Illinois,191912,141926,333838,
Pennsylvania,167431,148998,316429,
Florida,173655,134518,308173,
Michigan,166605,126342,292947,
New Jersey,161056,120002,281058,
Minnesota,122602,117885,240487,
Massachusetts,125633,101634,227267,
North Carolina,110711,87541,198252,
Georgia,118736,76666,195402,
Wisconsin,105357,73484,178841,
Washington,94614,79764,174378,
Virginia,98558,75508,174066,
Missouri,100185,71740,171925,
Indiana,89538,63410,152948,
Alabama,89714,49001,138715,
Iowa,81863,56347,138210,
Colorado,75952,61830,137782,
Arizona,68520,52817,121337,
Maryland,65903,51234,117137,
Louisiana,62141,48476,110617,
Tennessee,68394,41012,109406,
Mississippi,68723,40597,109320,
Connecticut,58624,49563,108187,
Kentucky,57598,49126,106724,
Kansas,60716,42647,103363,
Oregon,55759,43474,99233,
South Carolina,60071,36647,96718,
Oklahoma,54023,38927,92950,
Nebraska,45919,32609,78528,
Arkansas,42976,26296,69272,
Utah,38861,28459,67320,
Maine,26751,22768,49519,
Idaho,27847,21353,49200,
Nevada,28134,20369,48503,
New Mexico,25571,21624,47195,
New Hampshire,23271,19402,42673,
Hawaii,20616,15686,36302,
Rhode Island,19669,15532,35201,
West Virginia,21210,13470,34680,
Montana,16792,13738,30530,
South Dakota,16638,13080,29718,
Delaware,15980,12099,28079,
North Dakota,15565,11647,27212,
Alaska,11345,10129,21474,
Wyoming,11147,8406,19553,
Dist. Of Columbia,8492,6088,14580,
Vermont,7385,5800,13185,
